name,nationality,club,preferred.foot,position_group,age_group,overall,potential,wage,value
J. van der Werff,Switzerland,FC Red Bull Salzburg,Right,DEF,20 and under,63,80,3000,725000
J. Quiroga,Argentina,Belgrano de Córdoba,Left,DEF,Over 35,63,63,2000,40000
E. Bearzotti,Italy,Cosenza,Right,FWD,21 to 25,63,73,1000,600000
T. Mahrer,Austria,SV Mattersburg,Right,DEF,25 to 30,63,63,4000,300000
T. Okubo,Japan,FC Tokyo,Right,GK,25 to 30,63,63,2000,260000
S. Zenjov,Estonia,Cracovia,Right,MID,25 to 30,63,63,2000,350000
L. Musculus,Germany,KFC Uerdingen 05,Right,FWD,25 to 30,63,63,2000,400000
L. Pavez,Chile,Unión Española,Right,MID,25 to 30,63,63,1000,270000
U. Yuvakuran,Turkey,Beşiktaş JK,Right,GK,20 and under,63,76,4000,575000
J. Aylagas,Argentina,Club Atlético Colón,Right,GK,21 to 25,63,71,2000,400000
M. Byrne,Republic of Ireland,Gillingham,Right,MID,25 to 30,63,63,2000,350000
M. Haakenstad,Norway,Lillestrøm SK,Right,DEF,21 to 25,63,66,1000,375000
C. Goode,England,Scunthorpe United,Right,DEF,21 to 25,63,70,2000,450000
E. Saavedra,Bolivia,,Right,DEF,21 to 25,63,73,0,0
M. Baku,Germany,SG Sonnenhof Großaspach,Left,MID,20 and under,63,77,1000,800000
G. Compagnucci,Argentina,Unión de Santa Fe,Right,MID,25 to 30,63,63,3000,400000
M. Rømer,Denmark,SønderjyskE,Right,MID,25 to 30,63,64,3000,425000
S. Amro,Saudi Arabia,Al Wehda,Left,DEF,25 to 30,63,63,5000,290000
W. de la Rosa,Colombia,Envigado FC,Right,FWD,21 to 25,63,68,1000,500000
J. Baird,Scotland,St. Mirren,Right,DEF,21 to 25,63,72,1000,500000
Pistu,Spain,AD Alcorcón,Left,DEF,21 to 25,63,71,1000,475000
M. Greve,Denmark,Vejle Boldklub,Right,DEF,25 to 30,63,63,2000,300000
Shin Chang Moo,Korea Republic,Sangju Sangmu FC,Right,MID,21 to 25,63,65,1000,450000
L. Grace,Republic of Ireland,Shamrock Rovers,Right,DEF,21 to 25,63,68,1000,425000
M. Trianni,Germany,VfR Aalen,Right,MID,21 to 25,63,66,1000,475000
C. Añez,Bolivia,,Right,DEF,21 to 25,63,68,0,0
D. Bowditch,England,Northampton Town,Right,MID,31 to 35,63,63,3000,290000
Lee Tae Hee,Korea Republic,Incheon United FC,Right,GK,21 to 25,63,71,1000,400000
Carlos Isaac,Spain,Atlético Madrid,Right,DEF,20 and under,63,76,5000,625000
J. Lalpekhlua,India,,Right,FWD,25 to 30,63,64,0,0
Rafhael Lucas,Brazil,Jaguares de Córdoba,Right,FWD,21 to 25,63,66,1000,475000
D. Connolly,Republic of Ireland,Dundalk,Right,MID,21 to 25,63,71,1000,550000
M. Wilks,England,Doncaster Rovers,Left,FWD,20 and under,63,77,5000,800000
F. Luckeneder,Austria,SCR Altach,Left,DEF,21 to 25,63,70,2000,450000
M. Košťál,Slovakia,Wisła Kraków,Right,MID,21 to 25,63,72,2000,575000
S. Camara Jönsson,Sweden,Trelleborgs FF,Right,FWD,31 to 35,63,63,1000,190000
A. Höller,Austria,SV Mattersburg,Right,DEF,25 to 30,63,63,4000,280000
E. Ruiz,Colombia,La Equidad,Right,GK,20 and under,63,77,1000,675000
Felipe Soldivia,Brazil,Ceará Sporting Club,Right,MID,25 to 30,63,63,4000,350000
D. Bizimana,Rwanda,Waasland-Beveren,Right,MID,21 to 25,63,71,2000,475000
C. Landu Landu,Norway,Tromsø IL,Right,MID,25 to 30,63,66,1000,450000
O. Malik,Australia,Melbourne City FC,Right,MID,25 to 30,63,63,2000,300000
G. Sandberg Magnusson,Sweden,IF Brommapojkarna,Right,MID,25 to 30,63,65,1000,375000
S. Yajima,Japan,Vegalta Sendai,Right,MID,21 to 25,63,67,2000,475000
I. Huguenet,Argentina,Defensa y Justicia,Right,FWD,20 and under,63,76,3000,725000
K. Belmar,United States,Sporting Kansas City,Right,FWD,21 to 25,63,64,2000,450000
R. Lambe,Bermuda,Cambridge United,Right,MID,25 to 30,63,63,3000,375000
C. McAleny,England,Fleetwood Town,Right,FWD,21 to 25,63,66,2000,475000
Xie Pengfei,China PR,Jiangsu Suning FC,Left,MID,21 to 25,63,65,4000,450000
Guilherme Oliveira,Portugal,Os Belenenses,Right,GK,21 to 25,63,68,1000,350000
I. Akinade,Nigeria,Waterford FC,Right,FWD,21 to 25,63,68,1000,500000
S. Vega,Colombia,Millonarios FC,Right,DEF,20 and under,63,78,1000,725000
Wu Qing,China PR,Chongqing Dangdai Lifan FC SWM Team,Left,MID,Over 35,63,63,2000,120000
C. Ben Saada,Tunisia,ESTAC Troyes,Left,MID,31 to 35,63,63,2000,190000
B. Owundi Eko'o,Cameroon,Minnesota United FC,Left,DEF,21 to 25,63,67,1000,400000
D. Bohl,Germany,Hallescher FC,Left,MID,21 to 25,63,68,1000,425000
J. Rose,England,Southampton,Right,GK,21 to 25,63,71,5000,400000
V. Castellanos,Argentina,New York City FC,Right,MID,20 and under,63,80,1000,800000
J. Gordon,England,Walsall,Right,FWD,21 to 25,63,70,2000,525000
D. Sinik,Turkey,Antalyaspor,Left,MID,20 and under,63,77,2000,800000
J. Arak,Poland,Lechia Gdańsk,Right,FWD,21 to 25,63,71,2000,550000
K. Al Samiri,Saudi Arabia,Al Ittihad,Right,MID,21 to 25,63,73,5000,600000
P. Mako,South Africa,Orlando Pirates,Left,DEF,21 to 25,63,68,1000,400000
H. Al Amiri,Saudi Arabia,Al Qadisiyah,Right,MID,21 to 25,63,67,4000,475000
G. Terrani,Italy,Perugia,Right,FWD,21 to 25,63,68,1000,500000
B. Corr,Republic of Ireland,Cambridge United,Right,FWD,31 to 35,63,63,4000,230000
L. Ngwat Mahop,Cameroon,SCR Altach,Right,MID,25 to 30,63,63,3000,350000
J. Coleman,England,Shrewsbury,Right,GK,21 to 25,63,71,5000,400000
W. Łobodziński,Poland,Miedź Legnica,Right,MID,31 to 35,63,63,1000,160000
S. Wright,Scotland,Aberdeen,Right,MID,20 and under,63,75,1000,650000
H. Starostzik,Germany,Hallescher FC,Right,DEF,25 to 30,63,65,1000,350000
S. Foley,Republic of Ireland,Northampton Town,Right,MID,31 to 35,63,63,3000,325000
N. Delfouneso,England,Blackpool,Right,MID,25 to 30,63,63,2000,375000
S. Suljevic,Sweden,Dalkurd FF,Right,MID,21 to 25,63,69,1000,500000
R. Bentancourt,Uruguay,Independiente Santa Fe,Right,FWD,21 to 25,63,68,1000,500000
N. Royón,Uruguay,Patronato,Right,FWD,25 to 30,63,64,3000,425000
K. Kushibiki,Japan,Nagoya Grampus,Right,DEF,21 to 25,63,66,2000,400000
K. Krolicki,Japan,Montreal Impact,Right,MID,21 to 25,63,71,2000,525000
H. Abou Demba,Mauritania,Grenoble Foot 38,Right,DEF,25 to 30,63,66,1000,375000
M. Wegner,Germany,SV Meppen,Right,FWD,25 to 30,63,63,1000,375000
M. Bringaker,Norway,IK Start,Right,FWD,21 to 25,63,71,1000,550000
S. Brisley,England,Notts County,Right,DEF,25 to 30,63,63,4000,300000
C. Diop,Senegal,Montreal Impact,Right,GK,21 to 25,63,66,1000,325000
Wang Tong,China PR,Shandong Luneng TaiShan FC,Right,DEF,21 to 25,63,67,3000,400000
G. Cooper,England,Peterborough United,Left,MID,21 to 25,63,72,2000,575000
M. Multhaup,Germany,1. FC Heidenheim 1846,Right,MID,21 to 25,63,72,2000,575000
P. Zebli,Ivory Coast,Ascoli,Right,MID,20 and under,63,74,2000,550000
D. Bertrand,France,Angers SCO,Left,MID,21 to 25,63,66,4000,475000
Ricardo Almeida,Portugal,Moreirense FC,Right,FWD,21 to 25,63,70,1000,525000
Rafaelson,Brazil,Vegalta Sendai,Right,FWD,21 to 25,63,72,1000,575000
Y. De Winter,Belgium,Royal Antwerp FC,Right,GK,31 to 35,63,63,2000,220000
G. Pinaud,France,US Orléans Loiret Football,Right,DEF,25 to 30,63,63,1000,270000
D. Zibung,Switzerland,FC Luzern,Right,GK,31 to 35,63,63,2000,150000
M. Rigione,Italy,Chievo Verona,Right,DEF,25 to 30,63,63,3000,300000
S. Rénot,France,Red Star FC,Right,GK,25 to 30,63,64,1000,300000
H. Lennon,England,Southend United,Left,DEF,21 to 25,63,68,2000,425000
H. Al Juhayyim,Saudi Arabia,Al Fateh,Right,FWD,25 to 30,63,63,6000,350000
A. Meyer,Germany,VfB Stuttgart,Right,GK,25 to 30,63,66,5000,300000
Yang Kuo,China PR,Henan Jianye FC,Right,DEF,21 to 25,63,67,3000,400000
L. Walsh,England,Bristol City,Right,MID,20 and under,63,75,6000,650000
M. Şengezer,Turkey,Bursaspor,Right,GK,21 to 25,63,74,2000,500000
H. Vetlesen,Norway,Stabæk Fotball,Right,MID,20 and under,63,81,1000,675000
A. Vrenezi,Kosovo, SSV Jahn Regensburg,Right,FWD,21 to 25,63,67,2000,500000
J. Jeffrey,United States,DC United,Right,MID,25 to 30,63,63,2000,300000
R. Lauritsen,Denmark,Vejle Boldklub,Right,DEF,21 to 25,63,73,2000,525000
J. Karlsson,Sweden,IF Elfsborg,Right,FWD,20 and under,63,71,1000,525000
D. Boo Wiklander,Sweden,IFK Göteborg,Right,DEF,31 to 35,63,63,1000,150000
A. Da Cruz,Netherlands,Parma,Right,FWD,21 to 25,63,73,6000,600000
E. Cömert,Switzerland,FC Basel 1893,Right,DEF,20 and under,63,79,3000,725000
M. Tramoni,France,AC Ajaccio,Right,MID,20 and under,63,80,1000,750000
F. Evina,Germany,FC Bayern München,Right,MID,20 and under,63,81,5000,725000
J. Hurtado,Venezuela,Gimnasia y Esgrima La Plata,Right,FWD,20 and under,63,80,2000,750000
G. Sawyer,England,Plymouth Argyle,Left,DEF,31 to 35,63,63,2000,200000
J. Fabri,France,Stade Brestois 29,Right,GK,21 to 25,63,68,1000,350000
T. Pett,England,Lincoln City,Right,MID,25 to 30,63,64,4000,425000
C. Howieson,New Zealand,,Left,MID,21 to 25,63,68,0,0
N. Brandenburger,Germany,SC Fortuna Köln,Right,MID,21 to 25,63,68,1000,425000
Lolo,Spain,Real Oviedo,Right,MID,25 to 30,63,64,2000,350000
PC,Brazil,Orlando City SC,Left,DEF,21 to 25,63,70,1000,425000
M. Malsa,France,Albacete BP,Right,MID,21 to 25,63,67,2000,475000
M. Nazarit,Colombia,Once Caldas,Right,DEF,20 and under,63,78,1000,725000
M. Moström,Sweden,Molde FK,Right,FWD,31 to 35,63,63,1000,160000
Luo Senwen,China PR,Hebei China Fortune FC,Right,MID,21 to 25,63,66,3000,450000
F. Weber,Germany,TSV 1860 München,Right,DEF,21 to 25,63,68,1000,425000
G. Guerra,Argentina,Club Atlético Huracán,Right,FWD,21 to 25,63,68,1000,500000
L. John-Lewis,England,Shrewsbury,Right,FWD,25 to 30,63,63,2000,375000
M. Ziereis,Germany,TSV 1860 München,Right,FWD,21 to 25,63,66,2000,475000
N. Flø,Denmark,Vendsyssel FF,Left,GK,21 to 25,63,70,2000,375000
N. Ependi,China PR,Beijing Renhe FC,Left,DEF,25 to 30,63,63,3000,300000
A. Al Khaibari,Saudi Arabia,Ettifaq FC,Left,DEF,25 to 30,63,63,5000,300000
R. Mukiibi,Sweden,Östersunds FK,Right,DEF,25 to 30,63,64,1000,350000
M. Mikkelsen,Denmark,Hobro IK,Left,MID,31 to 35,63,63,2000,290000
K. Lulić,Croatia,Waasland-Beveren,Right,MID,21 to 25,63,70,2000,525000
O. Shodipo,Republic of Ireland,Queens Park Rangers,Right,MID,20 and under,63,74,2000,625000
A. Soumaoro,Guinea,Livorno,Right,MID,21 to 25,63,70,1000,450000
B. Alston,Scotland,St. Johnstone FC,Right,MID,25 to 30,63,64,2000,425000
M. Rossmann,Germany,Heracles Almelo,Right,DEF,21 to 25,63,71,1000,475000
A. Al Owayshir,Saudi Arabia,Al Nassr,Right,GK,25 to 30,63,64,5000,290000
D. MacKinnon,Scotland,Hamilton Academical FC,Right,MID,31 to 35,63,63,2000,210000
D. Widemann,Germany,SpVgg Unterhaching,Right,FWD,21 to 25,63,70,1000,525000
M. Akan,Turkey,MKE Ankaragücü,Left,DEF,21 to 25,63,68,3000,400000
W. Janssens,Belgium,Sint-Truidense VV,Right,FWD,21 to 25,63,68,2000,500000
O. Velanas,Netherlands,FC Utrecht,Right,MID,20 and under,63,74,3000,625000
Carlos Miguel,Brazil,FC Red Bull Salzburg,Right,GK,21 to 25,63,75,3000,525000
D. Watari,Japan,Sanfrecce Hiroshima,Right,FWD,21 to 25,63,66,3000,475000
D. Iapichino,Switzerland,Livorno,Left,DEF,25 to 30,63,63,1000,300000
A. Jagiełło,Poland,Piast Gliwice,Left,MID,21 to 25,63,68,2000,500000
L. Vigouroux,Chile,Swindon Town,Right,GK,21 to 25,63,66,2000,325000
Y. Filigrana,Colombia,Atlético Bucaramanga,Right,MID,25 to 30,63,63,1000,375000
S. Hernández,Mexico,Club Atlas,Right,GK,21 to 25,63,76,2000,575000
Stoichkov,Spain,RCD Mallorca,Right,MID,21 to 25,63,66,2000,475000
J. Lindner,Poland,VfL Sportfreunde Lotte,Right,MID,25 to 30,63,63,1000,350000
B. de Jong,Netherlands,RSC Anderlecht,Right,GK,21 to 25,63,67,2000,350000
F. Fallatah,Saudi Arabia,Al Qadisiyah,Right,DEF,25 to 30,63,63,4000,290000
M. Cichocki,Poland,Zagłębie Sosnowiec,Right,DEF,25 to 30,63,66,1000,375000
A. Kanibolotskyi,Ukraine,Miedź Legnica,Right,GK,25 to 30,63,63,1000,240000
J. Wilson,Wales,Lincoln City,Right,DEF,25 to 30,63,63,4000,290000
O. Güçtekin,Turkey,Fenerbahçe SK,Right,MID,20 and under,63,82,4000,725000
L. Suárez,Colombia,Gimnàstic de Tarragona,Right,FWD,20 and under,63,72,8000,575000
L. Burge,England,Coventry City,Left,GK,21 to 25,63,67,2000,350000
D. Poggenberg,Germany,SG Sonnenhof Großaspach,Left,DEF,25 to 30,63,66,1000,375000
B. Öksüz,Turkey,Antalyaspor,Left,DEF,21 to 25,63,74,3000,550000
D. Campos,Costa Rica,Chicago Fire,Right,DEF,21 to 25,63,68,1000,400000
C. Burgess,Australia,Scunthorpe United,Left,DEF,21 to 25,63,72,2000,500000
Sito,Spain,Valencia CF,Left,MID,21 to 25,63,69,4000,500000
J. Hoffman,Australia,Newcastle Jets,Right,FWD,25 to 30,63,63,1000,350000
E. Frear,England,Motherwell,Left,MID,25 to 30,63,63,2000,375000
R. Peiponen,Finland,HJK Helsinki,Right,DEF,21 to 25,63,69,1000,425000
G. Nutz,Austria,Wolfsberger AC,Left,MID,21 to 25,63,69,3000,500000
M. Johnston,Scotland,Celtic,Right,MID,20 and under,63,80,4000,800000
Yu Ji Hoon,Korea Republic,Gyeongnam FC,Left,DEF,25 to 30,63,63,2000,270000
L. Casanova,Chile,Club Deportes Temuco,Right,DEF,25 to 30,63,66,1000,375000
M. Koj,Poland,Górnik Zabrze,Right,DEF,21 to 25,63,67,1000,400000
R. Espejord,Norway,Tromsø IL,Right,FWD,21 to 25,63,72,1000,575000
K. Toner,Republic of Ireland,St. Patrick's Athletic,Left,DEF,21 to 25,63,73,1000,525000
M. Palacios,Colombia,Boyacá Chicó FC,Right,MID,21 to 25,63,74,1000,625000
Kim Seon Woo,Korea Republic,Jeonnam Dragons,Right,MID,21 to 25,63,66,2000,450000
P. Yrizar,Mexico,Querétaro,Left,FWD,20 and under,63,68,2000,500000
Clemente,Spain,Real Zaragoza,Left,DEF,20 and under,63,78,1000,725000
Juan Delgado,Spain,Levante UD,Right,FWD,21 to 25,63,70,4000,525000
A. Romero,Venezuela,Crotone,Right,MID,21 to 25,63,72,1000,550000
J. Hornkamp,Netherlands,SC Heerenveen,Right,FWD,20 and under,63,73,2000,600000
Joan Monterde,Spain,Levante UD,Right,MID,20 and under,63,73,3000,600000
G. Somi,Syria,New England Revolution,Left,DEF,25 to 30,63,64,2000,350000
G. Karlen,Switzerland,FC Thun,Right,MID,21 to 25,63,71,3000,525000
G. Martin,England,Lillestrøm SK,Right,FWD,25 to 30,63,63,1000,400000
Luan,Brazil,SKN St. Pölten,Right,DEF,21 to 25,63,70,3000,450000
Caio César,Brazil,Kawasaki Frontale,Right,MID,21 to 25,63,68,2000,500000
F. Nadalín,Argentina,Newell's Old Boys,Right,DEF,20 and under,63,74,2000,550000
Uxío,Spain,Deportivo de La Coruña,Right,FWD,25 to 30,63,63,2000,400000
B. Comley,Montserrat,Colchester United,Right,MID,21 to 25,63,71,3000,525000
A. Al Habib,Saudi Arabia,Ettifaq FC,Right,DEF,21 to 25,63,65,5000,375000
Hwang ByeongGeun,Korea Republic,Jeonbuk Hyundai Motors,Right,GK,21 to 25,63,70,1000,375000
L. Faye,Netherlands,Vitesse,Left,DEF,20 and under,63,70,2000,450000
M. Al Furayj,Saudi Arabia,Al Fayha,Right,GK,25 to 30,63,63,3000,240000
T. Blomeyer,Germany,MSV Duisburg,Right,DEF,21 to 25,63,71,1000,475000
T. Mohr,Germany,SpVgg Greuther Fürth,Left,MID,21 to 25,63,71,2000,550000
G. Whyte,Northern Ireland,Oxford United,Right,MID,21 to 25,63,73,2000,600000
M. Kuzmanović,Bosnia Herzegovina,Royal Excel Mouscron,Right,MID,21 to 25,63,69,2000,500000
K. Burger,Germany,SG Sonnenhof Großaspach,Left,DEF,21 to 25,63,68,1000,425000
H. Miyazawa,Japan,Hokkaido Consadole Sapporo,Right,DEF,25 to 30,63,63,1000,350000
M. Camara,Guinea,BSC Young Boys,Right,DEF,20 and under,63,78,3000,725000
O. Bernal,Mexico,La Equidad,Right,DEF,21 to 25,63,70,3000,425000
B. Kirsch,Germany,SpVgg Greuther Fürth,Right,MID,21 to 25,63,72,2000,550000
M. Sourzac,France,Nîmes Olympique,Right,GK,25 to 30,63,63,3000,260000
Wang Jie,China PR,Tianjin Quanjian FC,Right,DEF,25 to 30,63,64,4000,325000
S. Miller,England,Crewe Alexandra,Right,FWD,25 to 30,63,63,4000,350000
T. Arano,Japan,Hokkaido Consadole Sapporo,Right,MID,21 to 25,63,68,1000,500000
M. Salisu,Ghana,Real Valladolid CF,Left,DEF,20 and under,63,76,2000,625000
P. Gori,Italy,Benevento,Right,GK,Over 35,63,63,1000,20000
D. Djigla,Benin,Chamois Niortais Football Club,Right,MID,21 to 25,63,68,1000,500000
T. Okamoto,Japan,Shonan Bellmare,Left,DEF,25 to 30,63,66,2000,375000
J. Green,England,Yeovil Town,Right,MID,21 to 25,63,67,2000,475000
Toni Moya,Spain,Atlético Madrid,Right,MID,20 and under,63,79,6000,800000
J. Gaspar,France,AS Monaco,Right,DEF,21 to 25,63,75,7000,575000
D. Suga,Japan,Hokkaido Consadole Sapporo,Left,MID,20 and under,63,74,1000,525000
R. Aabid,France,AS Béziers,Left,MID,25 to 30,63,64,1000,425000
E. Benavidez,Argentina,Patriotas Boyacá FC,Right,MID,25 to 30,63,63,1000,350000
A. Cisak,Australia,Sydney FC,Right,GK,25 to 30,63,64,2000,290000
J. Davenport,England,Blackburn Rovers,Left,MID,20 and under,63,79,3000,725000
Liu Yiming,China PR,Tianjin Quanjian FC,Right,DEF,21 to 25,63,70,4000,450000
C. Laprevotte,France,1. FC Magdeburg,Right,MID,21 to 25,63,66,3000,400000
Y. Dhanda,England,Swansea City,Right,MID,20 and under,63,81,3000,800000
L. Sapetti,Argentina,Club Atlético Aldosivi,Left,DEF,25 to 30,63,63,2000,280000
Brugui,Spain,Gimnàstic de Tarragona,Left,FWD,21 to 25,63,73,2000,600000
A. Marino,Italy,Lecce,Left,DEF,25 to 30,63,63,1000,290000
P. Malicsek,Austria,SK Rapid Wien,Right,MID,21 to 25,63,72,2000,500000
F. Schubert,Austria,TSV Hartberg,Right,FWD,21 to 25,63,69,2000,525000
A. Yasser,Qatar,Vissel Kobe,Left,DEF,21 to 25,63,68,1000,425000
L. Lämmel,Germany,VfR Aalen,Right,MID,20 and under,63,72,1000,575000
D. Grainger,England,Carlisle United,Left,DEF,31 to 35,63,63,3000,240000
P. Neumann,Germany,FC Ingolstadt 04,Right,DEF,20 and under,63,75,3000,575000
C. Ngonge,Belgium,Club Brugge KV,Left,FWD,20 and under,63,84,2000,850000
Domingos Quina,Portugal,Watford,Right,MID,20 and under,63,81,4000,750000
L. Sörensen,Denmark,Stoke City,Right,MID,20 and under,63,82,3000,675000
Y. Lawal,Nigeria,Sporting Lokeren,Right,MID,20 and under,63,72,2000,575000
S. McCartan,Northern Ireland,Lincoln City,Right,MID,21 to 25,63,68,2000,500000
M. Rasner,Austria,SKN St. Pölten,Right,MID,21 to 25,63,67,3000,475000
M. Facchinetti,Switzerland,FC Thun,Left,DEF,25 to 30,63,64,3000,350000
Park Jong Jin,Korea Republic,Incheon United FC,Right,MID,31 to 35,63,63,1000,325000
E. Lee,England,Luton Town,Right,MID,21 to 25,63,68,2000,500000
M. Al Saiari,Saudi Arabia,Al Hazem,Right,FWD,21 to 25,63,65,6000,450000
G. Singh Sandhu,India,,Right,GK,25 to 30,63,68,0,0
J. Pendant,France,FC Sochaux-Montbéliard,Left,DEF,21 to 25,63,72,1000,500000
A. Gaich,Argentina,San Lorenzo de Almagro,Right,FWD,20 and under,63,78,2000,800000
S. Sosa,Venezuela,Club Atlético Talleres,Left,MID,20 and under,63,79,2000,750000
A. Elogo,Cameroon,Grenoble Foot 38,Right,FWD,21 to 25,63,69,1000,500000
A. Abdu Jaber,Eritrea,Al Wehda,Right,FWD,21 to 25,63,65,4000,475000
D. Stojanović,FYR Macedonia,FC St. Gallen,Left,GK,21 to 25,63,69,2000,375000
T. Rieder,Germany,SV Darmstadt 98,Right,DEF,21 to 25,63,68,4000,425000
A. Keita,Ivory Coast,Stabæk Fotball,Right,MID,20 and under,63,75,3000,650000
P. Anderson,England,Mansfield Town,Right,MID,25 to 30,63,63,4000,350000
S. Kind Mikalsen,Norway,Lillestrøm SK,Left,DEF,21 to 25,63,66,1000,475000
N. Danns,Guyana,Bury,Right,MID,31 to 35,63,63,2000,150000
K. Itakura,Japan,Vegalta Sendai,Right,DEF,21 to 25,63,70,1000,450000
M. Derrien,France,Red Star FC,Right,DEF,21 to 25,63,70,1000,450000
B. Sørmo,Norway,Kristiansund BK,Right,DEF,21 to 25,63,71,1000,475000
A. Olliero,France,FC Nantes,Right,GK,21 to 25,63,69,3000,375000
T. Bayliss,England,Coventry City,Right,MID,20 and under,63,78,1000,775000
Guerrero,Spain,CF Rayo Majadahonda,Left,MID,20 and under,63,76,1000,625000
I. Quílez,Argentina,Club Atlético Aldosivi,Right,DEF,25 to 30,63,63,2000,290000
Mario González,Spain,Villarreal CF,Right,FWD,21 to 25,63,71,5000,550000
S. Herrera,Colombia,Atlético Huila,Right,FWD,21 to 25,63,69,1000,525000
A. Diop,Senegal,Kristiansund BK,Right,MID,25 to 30,63,64,1000,425000
S. Murray,Republic of Ireland,Vejle Boldklub,Right,MID,21 to 25,63,67,2000,475000
L. McAlinden,Republic of Ireland,Cheltenham Town,Left,FWD,21 to 25,63,66,3000,475000
J. Tjørnelund,Denmark,Hobro IK,Left,DEF,25 to 30,63,66,2000,375000
M. Timlin,Republic of Ireland,Stevenage,Left,MID,31 to 35,63,63,3000,220000
A. Akkaynak,Germany,Willem II,Right,MID,20 and under,63,78,1000,775000
N. Al Subhi,Saudi Arabia,Al Fayha,Left,DEF,25 to 30,63,63,4000,300000
R. Anane-Gyasi,Ghana,Stabæk Fotball,Right,MID,21 to 25,63,68,1000,500000
L. Kinsella,Republic of Ireland,Walsall,Right,MID,21 to 25,63,70,2000,500000
M. Ratajczak,Germany,SC Paderborn 07,Right,GK,Over 35,63,63,1000,50000
Diga,Portugal,CD Feirense,Right,DEF,20 and under,63,72,2000,500000
M. Yandaş,Turkey,Sivasspor,Right,MID,21 to 25,63,70,3000,525000
S. Oum Gouet,Cameroon,SCR Altach,Right,MID,20 and under,63,72,2000,500000
Tian Yinong,China PR,Jiangsu Suning FC,Right,MID,25 to 30,63,64,4000,425000
A. Omar,Kenya,KSV Cercle Brugge,Left,DEF,21 to 25,63,66,3000,375000
M. Broberg,Sweden,Odds BK,Right,MID,25 to 30,63,63,1000,375000
M. Caillard,France,En Avant de Guingamp,Right,GK,21 to 25,63,69,3000,375000
H. Bonmann,Germany,TSV 1860 München,Right,GK,21 to 25,63,69,1000,375000
C. Bravo,Argentina,Club Atlético Banfield,Left,DEF,21 to 25,63,74,2000,550000
H. Rashidi,Sweden,AIK,Right,DEF,21 to 25,63,68,2000,400000
Yu Ziqian,China PR,Dalian YiFang FC,Right,GK,31 to 35,63,63,2000,190000
P. Digby,England,Forest Green Rovers,Right,MID,21 to 25,63,67,3000,400000
G. Fabiano,Italy,Venezia FC,Right,FWD,31 to 35,63,63,1000,220000
E. Andersson,Sweden,IK Sirius,Left,MID,21 to 25,63,71,1000,550000
A. Gordyushenko,Russia,PFC CSKA Moscow,Right,MID,21 to 25,63,76,1000,700000
S. Reddemann,Germany,SV Wehen Wiesbaden,Left,DEF,21 to 25,63,70,2000,450000
C. Lakin,England,Birmingham City,Left,MID,20 and under,63,79,3000,775000
Vallès,Spain,Sandefjord Fotball,Left,MID,25 to 30,63,63,1000,375000
T. Kruse,Germany,FC Energie Cottbus,Left,MID,31 to 35,63,63,1000,90000
B. Soumaré,France,LOSC Lille,Right,MID,20 and under,63,81,3000,775000
S. Perisan,Italy,Padova,Right,GK,20 and under,63,72,2000,425000
Y. Hasegawa,Japan,Shimizu S-Pulse,Right,FWD,25 to 30,63,63,1000,350000
J. Bataille,Belgium,KV Oostende,Right,MID,20 and under,63,75,2000,650000
I. Twum,Ghana,IK Start,Right,MID,20 and under,63,78,1000,800000
P. Diouf,Senegal,Kalmar FF,Right,FWD,25 to 30,63,63,1000,375000
S. Flinders,England,Cheltenham Town,Right,GK,31 to 35,63,63,2000,210000
T. Bröker,Germany,SC Fortuna Köln,Right,MID,31 to 35,63,63,1000,220000
N. Rehnen,Germany,SC Fortuna Köln,Right,GK,21 to 25,63,74,2000,500000
A. Accardi,Italy,Palermo,Right,DEF,21 to 25,63,71,1000,475000
K. Debaty,Belgium,Waasland-Beveren,Right,GK,25 to 30,63,64,2000,290000
S. Kroll,Germany,VfL Sportfreunde Lotte,Right,GK,21 to 25,63,72,1000,425000
F. Krogstad,Norway,Lillestrøm SK,Right,MID,21 to 25,63,71,1000,525000
Pedro Díaz,Spain,Real Sporting de Gijón,Right,MID,20 and under,63,74,2000,625000
A. Kubalas,Turkey,MKE Ankaragücü,Right,DEF,25 to 30,63,66,4000,375000
O. Sissoko,Mali,Le Havre AC,Right,GK,25 to 30,63,63,1000,240000
A. Redmayne,Australia,Sydney FC,Right,GK,25 to 30,63,63,2000,250000
L. O'Neill,England,Gillingham,Right,DEF,25 to 30,63,64,2000,350000
S. Braun,Germany,SC Preußen Münster,Left,MID,25 to 30,63,63,1000,290000
Isi,Spain,Granada CF,Right,MID,21 to 25,63,72,2000,550000
S. Laird,England,Forest Green Rovers,Left,DEF,25 to 30,63,63,3000,270000
M. Grösch,Germany,FC Carl Zeiss Jena,Right,DEF,21 to 25,63,68,1000,425000
M. Bartley,England,Hibernian,Right,MID,31 to 35,63,63,2000,325000
R. Nilsson,Sweden,Trelleborgs FF,Right,MID,25 to 30,63,63,1000,350000
P. Jones,England,Fleetwood Town,Right,GK,31 to 35,63,63,2000,210000
M. Armellino,Italy,Lecce,Right,MID,25 to 30,63,63,1000,375000
E. Marxen,Denmark,Randers FC,Left,DEF,25 to 30,63,64,3000,350000
Tan Tiancheng,China PR,Changchun Yatai FC,Right,FWD,25 to 30,63,64,3000,425000
A. McEneff,Republic of Ireland,Shamrock Rovers,Right,MID,21 to 25,63,72,1000,550000
